Type of plastic,Catalyst used,Feed Quantity,Feed to catalyst ratio,Surface area (m2/g),Pore dia (Å),Pore volume (cm3/g),Calcination temperature (0C),Calcination time (min),Temperature (0C),Inert gas flow rate (mL/min),Residence time (min),Heating rate (0C/min),C (%),H (%),N (%),S (%),O (%),Volatile matter (%),Moisture (%),Ash (%),Fixed Carbon (%),HHV of feed (MJ/kg),HHV of oil (MJ/kg),Oil yield (%),Gas yield (%),Wax(%),SolidResidue/Coke(%),CO (vol. %),CO2 (vol. %),H2 (vol. %),CH4 (vol. %),Reference
PP,clay catalyst,,19,,,,,,400,,,,,,,,,,,,,,,40.1,52.63,,7.27,,,,,18
PP,clay catalyst,,9,,,,,,158.58,,,,,,,,,,,,,,,0,1.28,,98.72,,,,,18
PP,clay catalyst,,9,,,,,,300,,,,,,,,,,,,,,,60.72,24.94,,14.34,,,,,18
PP,clay catalyst,,33.13,,,,,,300,,,,,,,,,,,,,,,43.82,50,,6.18,,,,,18
PP,clay catalyst,,9,,,,,,441.42,,,,,,,,,,,,,,,38.01,51.81,,10.18,,,,,18
PP,clay catalyst,,19,,,,,,200,,,,,,,,,,,,,,,20.7,23.54,,55.75,,,,,18
PP,clay catalyst,,4.86,,,,,,300,,,,,,,,,,,,,,,44.68,38.96,,16.36,,,,,18
PP,clay catalyst,,5.67,,,,,,400,,,,,,,,,,,,,,,52.2,29.25,,18.55,,,,,18
PS,clay catalyst,,4.86,,,,,,450,,,,,,,,,,,,,,,77.47,6.3,,16.23,,,,,18
PS,clay catalyst,,9,,,,,,308.58,,,,,,,,,,,,,,,64.02,7.8,,28.18,,,,,18
PS,clay catalyst,,9,,,,,,450,,,,,,,,,,,,,,,93.86,2.54,,3.6,,,,,18
PS,clay catalyst,,19,,,,,,350,,,,,,,,,,,,,,,77.14,10.48,,12.38,,,,,18
PS,clay catalyst,,5.67,,,,,,350,,,,,,,,,,,,,,,71.79,13.43,,14.78,,,,,18
PS,clay catalyst,,19,,,,,,550,,,,,,,,,,,,,,,67.01,25.37,,7.62,,,,,18
PS,clay catalyst,,19,,,,,,450,,,,,,,,,,,,,,,93.45,2,,4.55,,,,,18
PS,clay catalyst,,19,,,,,,450,,,,,,,,,,,,,,,92.73,4.54,,2.73,,,,,18
PS,clay catalyst,,19,,,,,,450,,,,,,,,,,,,,,,93.27,3.09,,3.64,,,,,18
PS,clay catalyst,,19,,,,,,591.42,,,,,,,,,,,,,,,54.55,34.11,,11.34,,,,,18
PS,clay catalyst,,19,,,,,,450,,,,,,,,,,,,,,,93.18,2.27,,4.55,,,,,18
PS,clay catalyst,,5.67,,,,,,550,,,,,,,,,,,,,,,65.22,20,,14.78,,,,,18
PS,clay catalyst,,33.13,,,,,,450,,,,,,,,,,,,,,,84.54,3.79,,11.67,,,,,18
LDPE,ZnO,50,100,,,,,,300,30,120,,,,,,,,,,,,,54.4,20,0.85,24.75,,,,,20
LDPE,ZnO,50,83.33,,,,,,300,30,120,,,,,,,,,,,,43.15,67.3,9.55,0,23.15,,,,,20
LDPE,ZnO,50,71.43,,,,,,300,30,120,,,,,,,,,,,,,65,9.3,0,25.7,,,,,20
PS,Natural Zeolite,1010,10,4.3,18.7,0.02,,,450,50,75,10,,,,,,,,,,39.3,41.7,54,12.8,0,32.8,,,,,33
PS,Synthetic Zeolite,1010,10,780,,,,,450,50,75,10,,,,,,,,,,39.3,40.6,50,22.6,0,27.4,,,,,33
PS,silica-alumina,,20,,,,,,350,,,20,,,,,,,,,,,,65,3.5,,31.5,,,,,
PS,silica-alumina,,20,,,,,,370,,,20,,,,,,,,,,,,78.8,2.4,,18.8,,,,,
PS,silica-alumina,,20,,,,,,390,,,20,,,,,,,,,,,,95.7,1.4,,2.9,,,,,
PS,silica-alumina,,20,,,,,,410,,,20,,,,,,,,,,,,97.3,1,,1.7,,,,,
PS,silica-alumina,,10,,,,,,370,,,20,,,,,,,,,,,,84,3.3,,12.7,,,,,
PS,silica-alumina,,5,,,,,,370,,,20,,,,,,,,,,,,82.7,3.9,,13.4,,,,,
PS,silica-alumina,,3.33,,,,,,370,,,20,,,,,,,,,,,,78.8,6.2,,15,,,,,
LDPE,DeLaZSM-5,10,20,,,,,,330,30,,,,,,,,,,,,,,48.8,49,,2.2,,,,,46
PP,DeLaZSM-5,10,20,,,,,,330,30,,,,,,,,,,,,,,58.8,38.2,,3,,,,,46
LDPE,ZSM-5,20,2,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,27.44,67.44,1.84,2.98,,,,,37
LDPE,ZSM-5,20,4,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,26.41,69.56,1.82,2.21,,,,,37
LDPE,ZSM-5,20,1.32,412.2,,0.4,550,30,480,1000,10,10,,,,,,,,,,,,26.57,70.57,1.88,0.98,,,,,37
